,Count,Nouns
1644,4,titanium
1645,4,title
1454,4,shoulder
377,4,convenience
729,4,handicap
735,4,happiness
671,4,generator
748,4,health
328,4,clothing
1742,4,vestibule
667,4,gatorskin
1436,4,shaver
665,4,gated
317,4,classroom
387,4,cork
642,4,friday
301,4,chopstick
1751,4,visibility
795,4,hunt
243,4,camp
709,4,gt
920,4,leverage
528,4,east
473,4,development
937,4,list
207,4,buddy
489,4,display
467,4,deschute
517,4,dropout
935,4,lip
455,4,del
1562,4,subway
992,4,mate
954,4,lookout
522,4,dumpster
450,4,debris
1699,4,tubeless
979,4,march
1470,4,situation
1703,4,turn
969,4,make
924,4,lid
503,4,dormitory
501,4,doorway
1565,4,summer
484,4,dirt
1450,3,shopper
1505,3,spider
632,3,foster
1245,3,prescott
1260,3,prosecution
1705,3,tweaker
494,3,doctor
508,3,dozen
1357,3,rontom
1356,3,rod
1354,3,rocket
1246,3,present
638,3,fraternity
1381,3,san
1655,3,touch
1257,3,program
1411,3,seattle
666,3,gateway
637,3,francisco
1502,3,speedometer
644,3,friendship
1253,3,pro
645,3,frog
672,3,gentleman
472,3,deterrent
1222,3,polo
481,3,dings
1431,3,shadow
358,3,complaint
1515,3,sprocket
1407,3,season
1514,3,spring
1476,3,sks
1383,3,santa
73,3,attendant
71,3,attack
694,3,gray
1512,3,spray
1221,3,poll
69,3,atm
1409,3,seating
1643,3,tires
1366,3,route
66,3,ash
375,3,contractor
685,3,goodwill
1648,3,tomorrow
487,3,discovery
1812,3,x2
2,3,14
1508,3,spokane
1649,3,ton
1262,3,psu
1724,3,usd
1261,3,protector
1499,3,span
53,3,appointment
10,3,abus
1313,3,remaining
1819,3,ye
1311,3,relative
556,3,escape
1818,3,yds
428,3,cushion
1674,3,transaction
1487,3,soma
566,3,exercise
569,3,extension
571,3,eyewitness
419,3,crosswalk
418,3,crossbar
1297,3,recognition
31,3,agent
1316,3,rent
509,3,drainpipe
541,3,enclosure
1485,3,soccer
1328,3,restaraunt
534,3,effort
530,3,eating
1326,3,response
448,3,deadbolt
543,3,engineering
551,3,equipment
1822,3,yepp
529,3,eastside
1684,3,tri
1683,3,trespassing
441,3,dark
439,3,dad
577,3,faculty
1709,3,uhaul
1294,3,reason
1271,3,purpose
605,3,firework
1667,3,trader
1275,3,quick
608,3,fixie
1666,3,trade
611,3,flannel
1815,3,yakima
582,3,fashion
612,3,flashlight
619,3,fob
1706,3,twin
17,3,ace
620,3,folding
