,Count,Nouns
2021,5,rent
2283,5,snow
1084,5,grey
2402,5,sullivan
2178,5,seatpost
143,5,baker
1505,5,manner
139,5,badge
1426,5,lexington
1427,5,liberty
137,5,backspace
1429,5,license
2242,5,shuttle
2784,5,worth
127,5,avail
115,5,attack
1439,5,linden
97,5,armory
2410,5,sunnyside
2137,5,sandwich
2186,5,seller
2189,5,sensor
2799,5,yale
68,5,anchor
62,5,alot
1488,5,macy
2198,5,setup
2807,5,yepp
26,5,ad
23,5,account
22,5,accomplice
1464,5,lodge
2209,5,shattuck
153,5,band
1509,5,maple
1350,5,killer
271,5,bowl
2047,5,rhone
338,5,burrage
324,5,bungee
2058,5,riser
2739,5,weight
309,5,buchanan
1363,5,knight
2742,5,westlake
2744,5,wharf
1525,5,martin
1372,5,kuat
1524,5,mart
1377,5,labor
256,5,booth
179,5,bbq
251,5,bontrager
2099,5,ross
242,5,board
2104,5,route
2108,5,rubber
1395,5,latch
227,5,blackburn
2116,5,rv
1404,5,lb
2120,5,saddlebag
203,5,berry
2764,5,wing
2131,5,salt
475,5,circuit
1570,5,message
1477,5,loui
744,5,discovery
1805,5,pcc
763,5,dormitory
1200,5,hope
2567,5,trainer
760,5,doorstep
1604,5,mirror
927,5,finder
757,5,donut
928,5,finish
2490,5,theife
2618,5,ucla
1639,5,mother
991,5,fuel
1820,5,pennsylvania
723,5,device
722,5,development
719,5,detective
950,5,fob
953,5,folsom
702,5,deli
957,5,football
1717,5,occupant
976,5,fraud
1224,5,hudson
1802,5,payday
924,5,file
2614,5,ty
1135,5,harold
868,5,evo
2579,5,tri
885,5,factory
858,5,esplanade
2583,5,trike
2586,5,trinity
1754,5,p2
2387,5,stud
2355,5,start
1627,5,monica
1172,5,hinge
2352,5,staple
827,5,elm
2358,5,stay
1739,5,ortlieb
2597,5,tualatin
818,5,el
2571,5,transport
1184,5,holladay
1137,5,harvard
1785,5,partner
1613,5,miyata
915,5,fest
985,5,fron
707,5,dent
1835,5,phoenix
1253,5,indoors
1685,5,net
595,5,cork
1877,5,pliers
578,5,control
687,5,dc
1892,5,pony
1898,5,portch
553,5,compartment
1032,5,gf
543,5,comfort
2536,5,tolman
538,5,column
2679,5,vestibule
525,5,colleague
1654,5,mud
1918,5,press
1921,5,price
1281,5,ish
1665,5,naito
1286,5,ivanhoe
1064,5,grade
1074,5,gray
491,5,clean
1254,5,industry
870,5,ex
641,5,crowbar
658,5,curtis
1229,5,hunt
2480,5,terry
617,5,coworker
1855,5,pinhead
622,5,cramer
1838,5,photograph
1841,5,pick
671,5,cyclist
2327,5,springwater
1702,5,nose
1590,5,milk
633,5,criterium
2376,4,stportland
2141,4,satisfaction
1687,4,news
1742,4,outback
1642,4,motobecane
1511,4,marathon
2378,4,streak
1743,4,outfitter
2190,4,sept
1668,4,navigator
1630,4,montavilla
1628,4,monkey
1721,4,odometer
1697,4,nordstrom
1723,4,offer
1722,4,odyssey
2150,4,scattante
1683,4,ness
2148,4,scaffold
1648,4,mountainbike
2373,4,storm
2380,4,streetcar
2171,4,sea
2173,4,sear
2194,4,server
2361,4,steele
1652,4,mtb
2238,4,shoulder
2204,4,shadow
1942,4,pst
1749,4,overpass
2051,4,ridge
1829,4,pet
1536,4,mate
1600,4,minneapoli
2278,4,smith
1832,4,pf
2329,4,sprocket
1852,4,pin
2019,4,remember
2010,4,reflection
2008,4,reel
1549,4,mcloughlin
2317,4,splash
1584,4,midday
2003,4,recycling
1889,4,polo
1581,4,michael
1903,4,position
1908,4,pouch
1980,4,rainbow
1914,4,precinct
1962,4,quimby
1960,4,quick
1565,4,men
1934,4,profile
1956,4,quarter
1826,4,perps
2052,4,ridley
2130,4,salsa
1823,4,permanente
2129,4,saloon
2118,4,sac
2248,4,signal
2353,4,star
1766,4,panier
2109,4,ruby
1615,4,mn
2252,4,simpson
1770,4,paper
2254,4,single
2255,4,singlespeed
1611,4,mitchell
1522,4,marriott
1800,4,pawn
1564,4,memory
2259,4,situation
2081,4,rockridge
2262,4,sk
2263,4,skewer
1527,4,mary
1528,4,maryland
2404,4,summit
1602,4,mint
2070,4,roadhouse
2267,4,sky
2091,4,rooftop
2821,4,äé
2640,4,upside
326,4,burgermeister
1196,4,hoody
306,4,bryant
1190,4,homeowner
307,4,btw
510,4,coast
505,4,clothing
1170,4,hillsdale
313,4,buddy
2738,4,weidler
327,4,burgerville
486,4,clark
1150,4,headquarters
1146,4,haye
1144,4,hawthorn
872,4,exchange
1132,4,hardwood
1130,4,hardtail
344,4,butterfly
1127,4,happiness
345,4,button
836,4,encore
521,4,cole
2592,4,trp
1203,4,horse
2606,4,tunnel
1276,4,iowa
1275,4,invasion
1274,4,intruder
2474,4,tenino
547,4,commonwealth
2756,4,willamette
237,4,blog
2477,4,tent
539,4,com
537,4,columbus
260,4,borthwick
532,4,colorado
2599,4,tubeless
530,4,colony
1237,4,ida
1230,4,hurry
268,4,bound
284,4,breakfast
488,4,classroom
485,4,clara
216,4,bile
440,4,change
461,4,chocolate
434,4,chainring
1025,4,generator
2547,4,touch
951,4,folding
456,4,chevy
1019,4,gator
455,4,chevron
2557,4,townsend
975,4,fraternity
888,4,fairview
2556,4,townie
980,4,fri
983,4,friendship
2698,4,visibility
1000,4,gallerium
998,4,gaine
445,4,charle
2700,4,visitor
989,4,fsr
425,4,century
421,4,cent
419,4,cellar
935,4,fixie
1107,4,hack
2516,4,tie
2730,4,weather
892,4,fargo
2520,4,tilamook
1099,4,gun
358,4,caffe
893,4,farm
2724,4,wave
482,4,clackamas
1080,4,greenlake
377,4,canal
2530,4,title
1062,4,grace
473,4,cinemas
914,4,fessenden
1051,4,golf
398,4,carrera
412,4,cathedral
220,4,birthday
1246,4,incline
799,4,dwight
630,4,crest
98,4,army
625,4,crash
1,4,100
103,4,artist
741,4,dirt
619,4,craft
1388,4,land
2438,4,tact
109,4,asshole
110,4,assume
1381,4,lafayette
2620,4,ucsf
747,4,display
2619,4,ucsd
1368,4,kontrol
123,4,authority
761,4,doorway
126,4,av
2615,4,tyler
1358,4,kitty
128,4,avalon
2424,4,suspicion
2655,4,valencia
2783,4,worn
92,4,arena
668,4,cyclery
1470,4,lookout
1463,4,lockup
2815,4,youth
690,4,debris
665,4,cx
2645,4,usa
35,4,aero
2646,4,usc
47,4,al
2804,4,ye
654,4,cumberland
653,4,culver
646,4,crystal
1444,4,lip
71,4,ankeny
735,4,diner
1430,4,lid
1425,4,lexa
1423,4,leverage
89,4,architecture
597,4,cornelius
988,4,fry
781,4,dropout
587,4,coor
136,4,backseat
190,4,bedroom
790,4,dumpster
579,4,convenience
174,4,basketball
2461,4,tea
584,4,cook
2612,4,twin
1307,4,jeld
1326,4,junker
204,4,bethesda
161,4,barbur
1299,4,java
2670,4,velocity
770,4,dr
565,4,concordium
2452,4,tarmac
211,4,biker
1287,4,ivy
564,4,concordia
560,4,compound
2297,3,source
542,3,comedy
2694,3,vineyard
1861,3,pizzeria
639,3,crosswalk
2296,3,sound
1843,3,picnic
1907,3,potrero
1961,3,quickie
644,3,crux
450,3,chautauqua
674,3,dad
454,3,cheesecake
544,3,commercial
659,3,cushion
1475,3,lotse
556,3,complaint
459,3,chip
1853,3,pinarello
1970,3,radius
2677,3,version
471,3,cinelli
1891,3,pond
1851,3,pilot
2674,3,venue
1849,3,pile
2314,3,spider
2686,3,videorama
1954,3,qfc
1888,3,poll
1880,3,pnca
2672,3,vendetta
492,3,cleaner
515,3,coda
2305,3,span
1940,3,protector
1939,3,prosecution
494,3,clicker
598,3,cornell
591,3,cora
1929,3,prius
495,3,cliff
2663,3,vaughn
496,3,clifton
1935,3,program
512,3,coating
618,3,cr
522,3,colfax
534,3,colt
1944,3,pt
477,3,citibank
2699,3,visit
478,3,citizen
480,3,cl
637,3,crossbar
1953,3,purpose
1952,3,purefix
481,3,clackama
577,3,contractor
528,3,colonel
484,3,clamp
1917,3,present
2324,3,spray
2680,3,veteran
2310,3,speedometer
489,3,claudium
1473,3,loss
446,3,charleston
2155,3,schnitzer
131,3,axis
145,3,balboa
2144,3,saver
2244,3,sideyard
150,3,ballroom
2779,3,workout
170,3,baseline
2136,3,sand
172,3,basin
175,3,bastard
182,3,bean
193,3,belief
194,3,believe
198,3,belt
2124,3,saint
205,3,beverage
208,3,bick
213,3,bikeroom
214,3,bikes
2762,3,windshield
2115,3,rutger
228,3,blake
