,Count,Nouns_Adjectives_TRIGRAM
4402,4,rack secured parking
4391,4,rack reward usd
651,4,bike garage alley
2500,4,garage reward beer
530,4,bike basement house
3743,4,open hour bike
5584,4,work bike lock
2636,4,ground bike rack
4395,4,rack safeway reward
5257,4,thief parking garage
2506,4,garage reward hug
3746,4,open overnight bike
2709,4,helmet bike rack
5520,4,wheel frame metal
2527,4,garage thief garage
4030,4,pm 00 pm
3759,4,oregon reward bike
4384,4,rack reward return
4381,4,rack reward poor
326,4,arrest conviction perps
2637,4,ground cable lock
1500,4,building door building
4374,4,rack reward gratitude
3495,4,middle school bike
4104,4,porch rail reward
5310,4,tire lock bike
1970,4,couch st reward
2253,4,fitness pearl district
3556,4,morning work bike
308,4,area basement apartment
5153,4,sw 5th clay
138,4,afternoon bike rack
1936,4,conviction perps return
2618,4,green bike rack
1369,4,black frame white
2800,4,hood community college
5157,4,sw 5th sw
483,4,bicycle cable lock
3581,4,mt hood community
2825,4,hour bike rack
5456,4,video surveillance camera
11,4,11 30 pm
3567,4,mountain bike house
4731,4,scott community center
5113,4,street signpost reward
10,4,11 00 pm
3582,4,mt scott community
2995,4,kryptonite evolution lock
1358,4,black bar tape
3112,4,lock bike black
4220,4,rack bike cable
3710,4,office bike rack
827,4,bike metal railing
1575,4,cable combination lock
3713,4,office building nw
315,4,area cable lock
2567,4,gated apartment complex
823,4,bike man woman
4490,4,recreation center reward
3346,4,lot apartment building
883,4,bike parking structure
3344,4,los gatos reward
4889,4,southeast portland reward
2791,4,home shed reward
87,4,5th ave reward
4163,4,private parking garage
3006,4,kryptonite lock reward
3983,4,perps return frame
2460,4,garage locked bike
3894,4,parking garage level
311,4,area bike storage
851,4,bike nw 14th
3319,4,locked residential garage
2191,4,entire bike lock
783,4,bike lock tire
3905,4,parking garage storage
3906,4,parking garage sw
481,4,bicycle ave reward
1347,4,bike yard gate
1872,4,combination cable lock
5178,4,sw naito parkway
896,4,bike place bike
5603,4,workplace rack reward
4158,4,private garage bike
5168,4,sw downtown portland
3117,4,lock bike day
5108,4,street sign lock
1952,4,corner nw everett
4510,4,renovo hardwood bicycle
790,4,bike locked backyard
137,4,african american man
1902,4,complex parking garage
862,4,bike outside house
4719,3,school education corner
1503,3,building flight stair
71,3,30 pm bike
2272,3,floor building door
1656,3,cage apartment building
4769,3,secure garage lock
4267,3,rack corner sw
327,3,art institue portland
2984,3,killer burger reward
4711,3,scene lock bike
5448,3,verde cocina server
2260,3,flight stair locked
58,3,24th ave harrison
2962,3,johnson creek blvd
3786,3,outside door reward
1588,3,cable lock bar
3809,3,outside office reward
3033,3,laundry room locked
5461,3,view bike verde
3785,3,outside cramer hall
333,3,ash apartment ash
287,3,april luarel ash
2958,3,jeld wen field
2658,3,hall portland state
2954,3,jantzen beach rv
4775,3,secured apartment garage
3813,3,outside public library
1675,3,caltrain bike car
4673,3,room underground garage
5462,3,view public gated
3784,3,outside coffee shop
331,3,asa flat loft
3808,3,outside nw 20th
5446,3,vehicle rack reward
3782,3,outside bike shop
1602,3,cable lock helmet
3758,3,oregon locked gated
4773,3,secure storage area
5460,3,video white male
3816,3,outside restaurant reward
3807,3,outside minute later
2961,3,johnson creek area
1664,3,cage locked garage
1663,3,cage lock bike
1600,3,cable lock gate
4714,3,school bike cage
5447,3,verde cocina restaurant
3032,3,laundry room ground
1492,3,building bike wall
1651,3,cable wheel cable
1613,3,cable lock parking
3801,3,outside killer burger
4026,3,plain view bike
1537,3,building sw downtown
1619,3,cable lock rear
3792,3,outside garage reward
4018,3,pizza type box
1561,3,bus stop sign
64,3,25th reel inn
1627,3,cable lock street
65,3,26th upshur private
69,3,28th sumner reward
4717,3,school day school
60,3,25th ave bike
296,3,apt complex bike
1629,3,cable lock thief
1532,3,building stairwell reward
1631,3,cable lock time
2282,3,food grocery store
3771,3,outside apartment lock
1624,3,cable lock seat
1560,3,bus stop bus
1557,3,bus pole reward
4737,3,seat gray seat
3009,3,kuat nv rack
1552,3,burnside st reward
1548,3,burnside bike rack
3010,3,la fitness gym
5466,3,village west university
1545,3,burnside 20th reward
63,3,25th overton area
62,3,25th avenue emerson
4743,3,seat saddle bag
3013,3,la fitness pearl
3005,3,kryptonite lock railing
5467,3,vineyard development aloha
2267,3,floor balcony apartment
4746,3,seattle central community
1530,3,building security gate
3000,3,kryptonite lock bolt
291,3,apt building basement
1642,3,cable scene bike
